Fan Power ,Compressor Power ,Battery Current ,Battery Voltage ,Battery Backup Time,IT_Load, Phase Output Load Percentage,UPS Efficiency ,Accessory Load ,UPS_loose,Outdoor Temperature,Outdoor Relative humidity ,Relative Humidity  Setpoint ,Upper_RH recomm,Lower_RH recomm,IT Room humidity ,Upper_Temp recomm,Lower_Temp recomm,Temperature  Set point ,IT Room temperature ,Battery Temperature,Total_IN,PUE
727.92,2776.8,0.15,427.05,849.80,4736.4,44.82,82.97,1319.48,972,16.14,41.50,45,55.00,40.00,37.50,27.00,18.00,20,21.42,23.88,5708.40,22
714.72,2745,0.15,427.01,846.73,4755.3,44.96,83.09,1298.66,968.06,15.88,40.88,45,55.00,40.00,39.08,27.00,18.00,20,22.08,24.00,5723.36,20
733.2,2704.44,0.15,426.97,848.06,4746.4,44.90,83.12,1290.53,963.78,15.38,44.38,45,55.00,40.00,38.79,27.00,18.00,20,22.34,24.00,5710.18,20
764.88,2390.64,0.15,426.92,848.66,4742.9,44.88,83.07,1295.22,966.84,15.88,48.38,45,55.00,40.00,37.53,27.00,18.00,20,22.13,23.92,5709.74,14
701.4,2878.8,0.15,427.01,850.07,4736.3,44.81,83.15,1310.51,960.09,16.50,45.75,45,55.00,40.00,37.36,27.00,18.00,20,21.90,24.04,5696.39,24
579.48,2763.96,0.15,427.05,849.20,4739.9,44.86,83.07,1288.33,966.04,16.25,44.00,45,55.00,40.00,37.28,27.00,18.00,20,21.91,24.08,5705.94,18
530.28,3022.8,0.15,427.01,849.11,4739.2,44.85,83.05,1272.1,967.37,16.13,47.88,45,55.00,40.00,34.98,27.00,18.00,20,21.79,23.92,5706.57,22
725.45,2787.60,0.15,426.96,851.00,4733.9,44.73,83.20,1280.81,956.17,16.80,42.49,45,55.00,40.00,31.69,27.00,18.00,20,22.82,23.50,5690.07,21
720.92,2765.87,0.15,426.96,847.71,4762.1,44.98,83.03,1277.66,973.05,16.41,44.81,45,55.00,40.00,33.48,27.00,18.00,20,22.75,23.50,5735.15,20
745.78,2736.74,0.15,427.03,849.38,4732.7,44.74,83.23,1278.47,953.53,17.95,42.87,45,55.00,40.00,35.59,27.00,18.00,20,22.48,23.54,5686.23,21
724.88,2421.75,0.15,427.04,852.50,4747.2,44.86,83.24,1277.75,956.05,16.56,46.93,45,55.00,40.00,31.65,27.00,18.00,20,22.38,23.54,5703.25,13
786.40,2853.20,0.15,427.00,851.63,4745.2,44.84,83.27,1277.57,953.55,15.53,54.50,45,55.00,40.00,32.54,27.00,18.00,20,22.47,23.50,5698.75,24
675.78,2759.02,0.15,427.01,851.42,4734.2,44.75,83.06,1277.54,965.49,14.91,57.58,45,55.00,40.00,33.07,27.00,18.00,20,22.70,23.50,5699.69,20
590.09,2935.72,0.15,427.06,851.13,4737.4,44.80,82.93,1305.36,974.82,15.62,58.26,45,55.00,40.00,33.80,27.00,18.00,20,22.65,23.54,5712.22,23
730.35,2798.45,0.15,427.06,773.85,5205.2,49.08,84.22,1277.11,975.60,16.67,30.86,45,55.00,40.00,31.23,27.00,18.00,20,21.93,23.50,6180.80,11
724.02,2772.07,0.15,426.99,785.24,5125.6,48.43,83.84,1277.79,988.19,16.83,28.14,45,55.00,40.00,31.40,27.00,18.00,20,22.05,23.50,6113.79,12
775.09,2725.54,0.15,427.02,787.00,5113.3,48.34,83.84,1277.74,985.49,16.00,29.86,45,55.00,40.00,29.99,27.00,18.00,20,21.75,23.54,6098.79,13
730.98,2501.23,0.15,427.07,784.92,5124.7,48.44,83.50,1277.33,1012.46,15.83,32.00,45,55.00,40.00,29.33,27.00,18.00,20,21.93,23.54,6137.16,8
794.87,2498.43,0.15,427.07,829.38,4864.9,45.96,82.95,1276.55,999.83,15.50,38.57,45,55.00,40.00,27.20,27.00,18.00,20,22.51,23.50,5864.73,14
707.78,2667.48,0.15,427.08,850.61,4735.4,44.71,83.18,1276.30,957.56,15.33,40.14,45,55.00,40.00,26.26,27.00,18.00,20,22.28,23.50,5692.96,18
656.89,2725.61,0.15,427.03,851.07,4732.5,44.70,83.07,1277.63,964.43,16.50,39.29,45,55.00,40.00,27.65,27.00,18.00,20,22.48,23.54,5696.93,19
733.87,2576.23,0.15,427.06,782.01,5146.6,48.59,84.43,1277.09,949.07,16.17,33.71,45,55.00,40.00,33.47,27.00,18.00,20,21.40,23.50,6095.67,8
735.23,2412.17,0.15,427.08,782.01,5147.6,48.60,84.56,1276.21,940.19,16.50,33.86,45,55.00,40.00,33.98,27.00,18.00,20,21.35,23.50,6087.79,4
785.99,2435.65,0.15,427.03,782.08,5147.8,48.60,84.43,1275.42,949.57,17.50,28.43,45,55.00,40.00,32.27,27.00,18.00,20,21.19,23.54,6097.37,6
729.25,2421.33,0.15,427.05,777.44,5175.5,48.86,84.38,1276.77,958.06,17.00,24.57,45,55.00,40.00,31.27,27.00,18.00,20,21.30,23.54,6133.56,4
767.74,2487.20,0.15,427.05,765.40,5261.4,49.56,84.51,1280.16,964.25,17.00,21.63,45,55.00,40.00,32.23,27.00,18.00,20,21.27,23.50,6225.65,5
721.09,2556.07,0.15,427.05,763.40,5277.6,49.67,83.88,1274.89,1014.26,16.00,33.57,45,55.00,40.00,31.57,27.00,18.00,20,21.44,23.50,6291.86,5
678.29,2643.11,0.15,427.06,768.17,5238.8,49.37,84.20,1277.70,983.28,16.00,40.00,45,55.00,40.00,32.23,27.00,18.00,20,21.36,23.54,6222.08,7
724.66,2491.53,0.15,427.06,782.94,5136.9,48.54,84.31,1277.94,956.13,16.17,62.50,45,55.00,40.00,39.09,27.00,18.00,20,20.80,23.00,6093.03,6
706.45,2471.96,0.15,427.09,782.51,5143.3,48.58,84.46,1278.12,946.38,17.80,41.13,45,55.00,40.00,38.35,27.00,18.00,20,20.74,22.00,6089.68,5
774.76,2397.02,0.15,427.10,782.38,5146.5,48.57,84.40,1278.06,951.08,20.17,21.25,45,55.00,40.00,38.43,27.00,18.00,20,21.10,21.00,6097.58,5
723.17,2496.72,0.15,427.06,778.57,5168.7,48.79,84.77,1279.84,928.71,18.83,21.86,45,55.00,40.00,37.99,27.00,18.00,20,20.85,23.00,6097.41,5
754.62,2535.21,0.15,427.07,780.49,5158.6,48.70,84.62,1280.91,937.45,17.20,25.14,45,55.00,40.00,37.87,27.00,18.00,20,20.56,22.00,6096.05,7
735.82,2571.32,0.15,427.08,782.50,5142.9,48.56,84.50,1279.60,943.33,16.40,24.00,45,55.00,40.00,37.85,27.00,18.00,20,23.11,21.00,6086.23,8
707.09,2592.21,0.15,427.08,783.05,5140.3,48.53,84.46,1279.53,945.44,16.29,29.25,45,55.00,40.00,37.72,27.00,18.00,20,26.79,22.00,6085.74,7
